family,eps,kind,label,scale,n_feat,n_used,n_train,n_test,r2,r2_lo,r2_hi,alpha,is_ell_star
plummer3d,0.1,coarse_scale,phi_ell=0.09,0.09,15,500,350,150,0.5336347240497057,0.3620689805301467,0.6471135111402099,0.001,0
plummer3d,0.1,coarse_scale,phi_ell=0.14,0.14,15,500,350,150,0.5265690954730777,0.3679052031621673,0.63356585507919,0.001,0
plummer3d,0.1,coarse_scale,phi_ell=0.2,0.2,15,500,350,150,0.4901152032365015,0.3381982870901976,0.596527301869744,0.001,0
plummer3d,0.1,coarse_scale,phi_ell=0.3,0.3,15,500,350,150,0.37452184617602124,0.20298258488008955,0.5017468707233874,0.001,0
plummer3d,0.1,baseline,fine_pos,,4,500,350,150,0.5209289966578708,,,,
plummer3d,0.1,baseline,fine_kin,,1,500,350,150,0.10347312653107366,,,,
plummer3d,0.1,baseline,fine_all,,5,500,350,150,0.6658100357915637,,,,
plummer3d,0.1,baseline,coarse_fixed,,5,500,350,150,0.7549295036961862,,,,
plummer3d,0.1,baseline,persistence,,1,500,350,150,0.729023618229937,,,,
plummer3d,0.1,baseline,bulk,,6,500,350,150,0.5152645123393766,,,,
bimodal3d,0.02,coarse_scale,phi_ell=0.025,0.025,15,500,350,150,0.31252071975876405,0.15246662889686372,0.44012765715291685,5.080218046913018,0
bimodal3d,0.02,coarse_scale,phi_ell=0.04,0.04,15,500,350,150,0.3441086232458199,0.1868549915222858,0.4709905883857541,5.080218046913018,0
bimodal3d,0.02,coarse_scale,phi_ell=0.06,0.06,15,500,350,150,0.39730215337513597,0.24903002342748373,0.5162516237842271,1.9684194472866112,0
bimodal3d,0.02,coarse_scale,phi_ell=0.09,0.09,15,500,350,150,0.4778974139537897,0.3489667674495632,0.5750473595741865,0.11450475699382812,0
bimodal3d,0.02,coarse_scale,phi_ell=0.14,0.14,15,500,350,150,0.5128476063476108,0.39133580077305996,0.6110223166263316,0.001,0
bimodal3d,0.02,coarse_scale,phi_ell=0.2,0.2,15,500,350,150,0.544614855350435,0.4209666480253755,0.6402240049464325,0.006660846290809154,1
bimodal3d,0.02,coarse_scale,phi_ell=0.3,0.3,15,500,350,150,0.5385363194349422,0.4120885160901018,0.6358728982170382,0.2955209235202888,0
bimodal3d,0.02,baseline,fine_pos,,4,500,350,150,0.2682979593019844,,,,
bimodal3d,0.02,baseline,fine_kin,,1,500,350,150,-0.004858816537910204,,,,
