family,eps,target,label,n,metric,value,ci_lo,ci_hi
hernquist3d,0.05,dQ_late,ΔQ(late),500,R2_fine_pos,0.503159274019952,,
hernquist3d,0.05,dQ_late,ΔQ(late),500,R2_fine_kin,0.22603512667756587,,
hernquist3d,0.05,dQ_late,ΔQ(late),500,R2_bulk,0.9752162415943572,,
hernquist3d,0.05,dQ_late,ΔQ(late),500,R2_phi_best,0.6464390730141878,,
hernquist3d,0.05,dQ_late,ΔQ(late),500,R2_psi_best,0.7078242689014509,,
hernquist3d,0.05,dQ_late,ΔQ(late),500,psi_beyond_bulk,-0.0006255803665657922,-0.002687346772655169,0.0019066366899630671
hernquist3d,0.05,dQ_late,ΔQ(late),500,psi_beyond_phi,0.20257597190869692,0.13273044882372675,0.3171629601477708
hernquist3d,0.05,dQ_late,ΔQ(late),500,psi_beyond_kin,0.5268162515129391,0.4073804214266444,0.6785076501824324
hernquist3d,0.05,dQ_late,ΔQ(late),500,ell_star_psi,0.3,,
hernquist3d,0.05,dQ_early,ΔQ(early),500,R2_fine_pos,0.6254874245726103,,
hernquist3d,0.05,dQ_early,ΔQ(early),500,R2_fine_kin,0.22501905332547034,,
hernquist3d,0.05,dQ_early,ΔQ(early),500,R2_bulk,0.980026528074677,,
hernquist3d,0.05,dQ_early,ΔQ(early),500,R2_phi_best,0.7191754718751092,,
hernquist3d,0.05,dQ_early,ΔQ(early),500,R2_psi_best,-3.0659618185605035,,
hernquist3d,0.05,dQ_early,ΔQ(early),500,psi_beyond_bulk,-0.01169641589507564,-0.022581046868088123,-0.0016817432235979902
hernquist3d,0.05,dQ_early,ΔQ(early),500,psi_beyond_phi,-1.9542780838342555,-6.861279051362795,0.19433677255415785
hernquist3d,0.05,dQ_early,ΔQ(early),500,psi_beyond_kin,0.5708101061866516,0.4488870741012841,0.6966213931828104
hernquist3d,0.05,dQ_early,ΔQ(early),500,ell_star_psi,0.3,,
hernquist3d,0.05,dSigr_late,Δσr(late),500,R2_fine_pos,0.08355026850966352,,
hernquist3d,0.05,dSigr_late,Δσr(late),500,R2_fine_kin,0.10282790665832797,,
hernquist3d,0.05,dSigr_late,Δσr(late),500,R2_bulk,0.16339082205751276,,
hernquist3d,0.05,dSigr_late,Δσr(late),500,R2_phi_best,0.10102825411012495,,
hernquist3d,0.05,dSigr_late,Δσr(late),500,R2_psi_best,0.32984591206136815,,
hernquist3d,0.05,dSigr_late,Δσr(late),500,psi_beyond_bulk,-2.2580205478714275,-8.141133504799587,0.2569191729789834
hernquist3d,0.05,dSigr_late,Δσr(late),500,psi_beyond_phi,-1.1088228483104121,-4.523868108332291,0.37787818386594624
hernquist3d,0.05,dSigr_late,Δσr(late),500,psi_beyond_kin,-0.4569604164076402,-2.1007102605941097,0.3237016524977759
hernquist3d,0.05,dSigr_late,Δσr(late),500,ell_star_psi,0.2,,
hernquist3d,0.05,dBeta_late,Δβ(late),500,R2_fine_pos,0.12184573355557404,,
hernquist3d,0.05,dBeta_late,Δβ(late),500,R2_fine_kin,0.07550577737766717,,
hernquist3d,0.05,dBeta_late,Δβ(late),500,R2_bulk,0.18007038608852466,,
hernquist3d,0.05,dBeta_late,Δβ(late),500,R2_phi_best,0.13765157575941012,,
hernquist3d,0.05,dBeta_late,Δβ(late),500,R2_psi_best,0.25483243216043217,,
hernquist3d,0.05,dBeta_late,Δβ(late),500,psi_beyond_bulk,0.05201301596393326,-0.7314343750126487,0.4327727244072035
hernquist3d,0.05,dBeta_late,Δβ(late),500,psi_beyond_phi,0.20089217157800243,0.05529502433222483,0.3183410626608611
hernquist3d,0.05,dBeta_late,Δβ(late),500,psi_beyond_kin,0.22753633941961737,0.08707784923130367,0.33701539105522454
hernquist3d,0.05,dBeta_late,Δβ(late),500,ell_star_psi,0.2,,
hernquist3d,0.1,dS_late,Δentropy(late),500,R2_fine_pos,0.2280546070224828,,
hernquist3d,0.1,dS_late,Δentropy(late),500,R2_fine_kin,0.1572649235184186,,
hernquist3d,0.1,dS_late,Δentropy(late),500,R2_bulk,0.33179078555453523,,
hernquist3d,0.1,dS_late,Δentropy(late),500,R2_phi_best,0.2134170728685878,,
hernquist3d,0.1,dS_late,Δentropy(late),500,R2_psi_best,0.34256625885134906,,
hernquist3d,0.1,dS_late,Δentropy(late),500,psi_beyond_bulk,0.05369640453963587,0.0008758736002450363,0.11183392011572144
hernquist3d,0.1,dS_late,Δentropy(late),500,psi_beyond_phi,0.24015513524249887,0.11621777609662193,0.35421148733008806
hernquist3d,0.1,dS_late,Δentropy(late),500,psi_beyond_kin,0.17906839768973148,0.09436363117441109,0.2606256185546755
hernquist3d,0.1,dS_late,Δentropy(late),500,ell_star_psi,0.2,,
hernquist3d,0.1,dS_early,Δentropy(early),500,R2_fine_pos,-0.017674180220145663,,
hernquist3d,0.1,dS_early,Δentropy(early),500,R2_fine_kin,0.04110373533070644,,
hernquist3d,0.1,dS_early,Δentropy(early),500,R2_bulk,0.2488673219174694,,
hernquist3d,0.1,dS_early,Δentropy(early),500,R2_phi_best,0.009125392998084125,,
hernquist3d,0.1,dS_early,Δentropy(early),500,R2_psi_best,0.20656110159970476,,
hernquist3d,0.1,dS_early,Δentropy(early),500,psi_beyond_bulk,0.00515607122674866,-0.06494605696032187,0.07893437645506703
hernquist3d,0.1,dS_early,Δentropy(early),500,psi_beyond_phi,0.2215356955839125,0.10466208691628691,0.3202757017449966
hernquist3d,0.1,dS_early,Δentropy(early),500,psi_beyond_kin,0.17060456786984568,0.06391170116882057,0.26479243025057725
hernquist3d,0.1,dS_early,Δentropy(early),500,ell_star_psi,0.09,,
hernquist3d,0.1,dQ_late,ΔQ(late),500,R2_fine_pos,0.5591345905923576,,
hernquist3d,0.1,dQ_late,ΔQ(late),500,R2_fine_kin,0.22306182027303734,,
hernquist3d,0.1,dQ_late,ΔQ(late),500,R2_bulk,0.9627002455075104,,
hernquist3d,0.1,dQ_late,ΔQ(late),500,R2_phi_best,0.6116139644558678,,
hernquist3d,0.1,dQ_late,ΔQ(late),500,R2_psi_best,0.6754616552607167,,
hernquist3d,0.1,dQ_late,ΔQ(late),500,psi_beyond_bulk,0.008215296787160042,0.0030082723786107324,0.015824432836625456
hernquist3d,0.1,dQ_late,ΔQ(late),500,psi_beyond_phi,0.2583542347416339,0.17527015706333768,0.36400907718980763
hernquist3d,0.1,dQ_late,ΔQ(late),500,psi_beyond_kin,0.5794594868672175,0.4728812323995024,0.7247768883931633
hernquist3d,0.1,dQ_late,ΔQ(late),500,ell_star_psi,0.3,,
hernquist3d,0.1,dQ_early,ΔQ(early),500,R2_fine_pos,0.5016208377997962,,
hernquist3d,0.1,dQ_early,ΔQ(early),500,R2_fine_kin,0.26724111414271,,
hernquist3d,0.1,dQ_early,ΔQ(early),500,R2_bulk,0.9784442568039459,,
hernquist3d,0.1,dQ_early,ΔQ(early),500,R2_phi_best,0.6067522335334955,,
hernquist3d,0.1,dQ_early,ΔQ(early),500,R2_psi_best,0.7354629634403536,,
hernquist3d,0.1,dQ_early,ΔQ(early),500,psi_beyond_bulk,0.005684949258322414,0.0010560874027715913,0.010531604368745538
hernquist3d,0.1,dQ_early,ΔQ(early),500,psi_beyond_phi,0.25972878409372524,0.17412507279819267,0.3675518908360752
hernquist3d,0.1,dQ_early,ΔQ(early),500,psi_beyond_kin,0.5467875469947564,0.41278082406689165,0.7220142872312728
hernquist3d,0.1,dQ_early,ΔQ(early),500,ell_star_psi,0.3,,
hernquist3d,0.1,dSigr_late,Δσr(late),500,R2_fine_pos,0.05728676337409433,,
hernquist3d,0.1,dSigr_late,Δσr(late),500,R2_fine_kin,0.054434872946787394,,
hernquist3d,0.1,dSigr_late,Δσr(late),500,R2_bulk,0.15910135276787918,,
hernquist3d,0.1,dSigr_late,Δσr(late),500,R2_phi_best,0.07591721125678486,,
hernquist3d,0.1,dSigr_late,Δσr(late),500,R2_psi_best,0.3002098348715554,,
hernquist3d,0.1,dSigr_late,Δσr(late),500,psi_beyond_bulk,0.29433757436868135,0.19602915736762935,0.3938349987137424
hernquist3d,0.1,dSigr_late,Δσr(late),500,psi_beyond_phi,0.3664774296538984,0.2282453732962086,0.484815330955945
hernquist3d,0.1,dSigr_late,Δσr(late),500,psi_beyond_kin,0.2528461381131226,0.15105179874773655,0.35305345969063623
hernquist3d,0.1,dSigr_late,Δσr(late),500,ell_star_psi,0.04,,
hernquist3d,0.1,dBeta_late,Δβ(late),500,R2_fine_pos,0.051202122981128806,,
hernquist3d,0.1,dBeta_late,Δβ(late),500,R2_fine_kin,0.020329945719162357,,
hernquist3d,0.1,dBeta_late,Δβ(late),500,R2_bulk,0.08663770694002848,,
hernquist3d,0.1,dBeta_late,Δβ(late),500,R2_phi_best,0.06083059811479774,,
hernquist3d,0.1,dBeta_late,Δβ(late),500,R2_psi_best,0.43706670533265013,,
hernquist3d,0.1,dBeta_late,Δβ(late),500,psi_beyond_bulk,0.3780520520564399,0.2823242364492013,0.47726546551441085
hernquist3d,0.1,dBeta_late,Δβ(late),500,psi_beyond_phi,0.4135232270474506,0.3186113954464079,0.5104762001135804
hernquist3d,0.1,dBeta_late,Δβ(late),500,psi_beyond_kin,0.4450468657505039,0.3154972802462343,0.5812431425605497
hernquist3d,0.1,dBeta_late,Δβ(late),500,ell_star_psi,0.06,,
