seed,orig_beta1,orig_Lspec1,orig_C81,orig_Mcen1,rad_beta1,rad_Lspec1,rad_C81,rad_Mcen1,lmatch_beta1,lmatch_Lspec1,lmatch_C81,lmatch_Mcen1,sham_beta1,sham_Lspec1,sham_C81,sham_Mcen1
2011,0.4908367852698744,1.21255612694543,24.48977279663086,0.0283203125,0.6676133894269466,0.8796045143998359,29.394287109375,0.0380859375,0.600045750566959,0.9083552837782227,21.898422241210938,0.0234375,0.5398358579990631,1.2058110761215077,30.552730560302734,0.017578125
2015,0.493310801039771,1.3430332547119044,28.37417221069336,0.0185546875,0.654912927362377,1.022270988420197,33.919063568115234,0.0458984375,0.5792573658091345,1.0574836665962035,26.38467025756836,0.0224609375,0.5047146082083313,1.339586471389278,25.551876068115234,0.013671875
2014,0.5872468871258935,1.2959071865458582,16.177059173583984,0.0478515625,0.7014424814662105,0.9748076674275433,20.095027923583984,0.021484375,0.6643896755967198,1.01035260972074,14.03109359741211,0.0302734375,0.5910865054239922,1.3063733738455061,17.446151733398438,0.03515625
2016,0.5338627018408112,1.3482803508738324,18.828975677490234,0.041015625,0.6932025485500335,1.0033070212197552,20.407958984375,0.03515625,0.6074597566402385,1.0446098069405845,18.18490219116211,0.0341796875,0.5558323084270993,1.3478515498833703,20.949153900146484,0.0439453125
2017,0.6367216509103197,1.3175496723266988,17.33901596069336,0.0380859375,0.745808054935069,0.9702326111920501,16.44985580444336,0.0439453125,0.68002698862672,0.9997635728584007,15.847225189208984,0.0556640625,0.6133927325738082,1.325429408226754,19.809066772460938,0.0419921875
2019,0.5745700677730963,1.312485595525715,14.988643646240234,0.0048828125,0.7063412606782916,0.9579197012805725,18.056381225585938,0.0263671875,0.6804411727199162,1.001592408199479,15.74258041381836,0.0029296875,0.5750161399556328,1.3166079180642634,15.0654296875,0.0048828125
2018,0.5333195108354483,1.1883470112959311,23.827693939208984,0.03515625,0.7014473730035939,0.8585125779350711,25.753841400146484,0.0458984375,0.6066274511746814,0.8898173001442709,27.598129272460938,0.0185546875,0.5576080052496002,1.1792315217976208,22.391952514648438,0.0361328125
2024,0.5435769371453174,1.355034879712172,24.85219955444336,0.015625,0.7166277831280027,1.0019570663505442,24.918025970458984,0.05078125,0.6286824508895745,1.0411995092397033,26.14544677734375,0.0361328125,0.5433102610808617,1.3643221197663393,25.489364624023438,0.0068359375
2022,0.49023945002927405,1.2822415243762693,33.255672454833984,0.041015625,0.6587780274607894,0.9624397721718492,36.3115234375,0.037109375,0.5807853050647891,0.9933724275956586,30.128662109375,0.0302734375,0.46833926486748256,1.2871735773848414,32.18899154663086,0.048828125
2020,0.47326019837634714,1.3553838930322304,23.11245346069336,0.0107421875,0.6575008770004516,0.994967857043977,21.052486419677734,0.033203125,0.5917113128689755,1.0334347170948017,18.437435150146484,0.0244140625,0.4977040860404237,1.3405930412435418,17.299068450927734,0.0263671875
