seed,beta0_orig,beta0_int,beta0_sham,beta1_orig,beta1_int,beta1_sham,sigr1_orig,sigr1_int,sigr1_sham,Q0_orig,Q0_int,L0_orig,L0_int
2009,0.004743006456704113,0.6545687235939789,0.0003046877946085713,0.4372222776249427,0.6233563467341858,0.4465601367993792,0.5590520115313136,0.6260581687298934,0.5499694433921106,1.9264688160296328,1.926401248627327,0.08209186918919983,0.06503665309357103
2014,-0.020841324088390012,0.6461614541254229,-0.06428836939565619,0.496382293731776,0.6206417018925485,0.518853996356778,0.5361655772173826,0.6016361999013521,0.5418637993766818,2.2306145235895687,2.2302587853554834,0.06316227526978699,0.05332113312415879
2011,0.012935649281952677,0.6586995169303849,-0.002916412063246554,0.3912640870665762,0.5761104315191509,0.46442424041645647,0.5381453572241233,0.6046908332300869,0.5503341655329096,1.9720293810653875,1.9719858638105816,0.045470560060527306,0.037517745265153106
2013,0.08133213453858545,0.6675556089839343,0.06695148024701492,0.4931144866587117,0.5981381298301345,0.4555797151490175,0.5397537886729054,0.5916664368401816,0.5314669570148065,2.0508647318324598,2.0505319593359497,0.053162193028609805,0.03731087040999819
2015,-0.12752745359210116,0.6162433666154614,-0.1511413904001193,0.41389160262879987,0.6030011717760208,0.4310971267973187,0.5467034946656372,0.6049498604299205,0.551127692724616,2.0026436581828357,2.0024858377787647,0.05113156829086058,0.03943357429047243
2012,-0.09046700431681542,0.620198283443196,-0.11258064828198044,0.4709951547777842,0.6412739072830929,0.46835633893753514,0.537107291962527,0.6163052870965725,0.5430268081195958,2.1061545043198446,2.105606093340535,0.1037213022658817,0.09529434521412132
2016,-0.020520314853054167,0.6386388502838279,-0.019352824814344638,0.4362952175329893,0.6181695373059344,0.48221624151237763,0.53668862372209,0.5932973816338404,0.5506791426070783,2.1253656442087148,2.1252865873953968,0.21768040104934747,0.1716376424809668
2017,-0.1151153296557097,0.6220242431530725,-0.08037697490305962,0.5124467861553232,0.6415335456192935,0.47994619377315506,0.5414168119941605,0.5867589214669958,0.5406775431341456,2.191485182455322,2.191163541622429,0.07643052629900215,0.05704539011616572
2018,-0.004135723738240227,0.6529742148889011,0.02379101253759519,0.4273248981141625,0.6332652362268667,0.4676408933294638,0.5840101734728611,0.662612612411837,0.5908894672611197,1.9499337476071026,1.9498441666851198,0.12952070407747895,0.09651906321873954
2019,-0.09238042945859104,0.6238472121125291,-0.07367489433387453,0.5321820915109601,0.6469968392724371,0.5228183663185,0.5199798532177633,0.5920499446723503,0.5185547985265715,2.199335072842303,2.199083423550867,0.06327898576506583,0.06109543870918569
2022,0.06553825245361045,0.6693807233206389,0.10348150170437154,0.4450814256385599,0.613577160443261,0.40698670528353187,0.5604285999242861,0.6236818851458411,0.5525255554849255,1.9597671698387202,1.9596230539270814,0.06041519771275734,0.03465996961259276
2021,-0.013932131928004354,0.6361785821857264,-0.007032625790456715,0.3913001977689705,0.5959595983834646,0.40138514045496876,0.5397741688558512,0.6089894887487824,0.540929460108577,1.921584255730971,1.9213574636185966,0.07763132731177448,0.07091341290770399
2023,0.02837451788893164,0.6557451016077653,0.014989544566601953,0.4531077897399314,0.6435390887216648,0.47688614121190587,0.5907500700610231,0.6535925835837657,0.5973150430340911,1.9835468343961609,1.9830067608195974,0.08148367541208436,0.05908639050295865
2024,-0.10193522658114507,0.6199436966526842,-0.16483944568103404,0.44983901058263487,0.6522892582809272,0.46876571291818814,0.5350585259667725,0.6116374177499726,0.5436457558844622,2.0932725415593803,2.093219588053321,0.10047141219830302,0.08480829465955136
2020,-0.027383753109938347,0.6401245699043907,0.027948617856981772,0.3826869436848853,0.5883181045823532,0.41717707155792405,0.5250369173124477,0.5998160948856248,0.5254609492533401,2.0922235688773156,2.0920593676630674,0.05257522091939606,0.03699492563792763
2025,-0.07404409917165156,0.6225517246424574,-0.0774371985189437,0.43508138837443244,0.5664913601632283,0.4224956470355621,0.5551387949024198,0.6136340934594482,0.5574123691326841,2.059071417738648,2.058901593896032,0.10420371384484339,0.07731432920063855
